,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-19 17:00:00,30,30,30,23.2,23.2,23.2,1014,66,5.7,20,Clouds
0,2019-01-19 18:00:00,31,31,31,23.4,23.4,23.4,1013,62,6.7,40,Clouds
0,2019-01-19 19:00:00,30,30,30,22.4,22.4,22.4,1013,62,6.2,40,Clouds
0,2019-01-19 20:00:00,30,30,30,22.4,22.4,22.4,1013,62,6.2,40,Clouds
0,2019-01-19 21:00:00,29,29,29,22.2,22.2,22.2,1013,66,6.2,40,Clouds
0,2019-01-19 22:00:00,29,29,29,23.0,23.0,23.0,1014,70,5.7,40,Clouds
0,2019-01-19 23:00:00,28,28,28,21.8,21.8,21.8,1014,69,5.7,40,Clouds
0,2019-01-20 00:00:00,28,28,28,22.8,22.8,22.8,1015,74,6.2,40,Clouds
0,2019-01-20 01:00:00,28,28,28,22.8,22.8,22.8,1016,74,5.1,40,Clouds
0,2019-01-20 02:00:00,28,28,28,21.8,21.8,21.8,1015,69,5.7,40,Clouds
0,2019-01-20 03:00:00,28,28,28,21.8,21.8,21.8,1015,69,5.7,40,Clouds
0,2019-01-20 04:00:00,28,28,28,22.8,22.8,22.8,1015,74,5.1,40,Clouds
0,2019-01-20 05:00:00,28,28,28,22.8,22.8,22.8,1014,74,4.6,40,Clouds
0,2019-01-20 06:00:00,27,27,27,22.6,22.6,22.6,1014,78,5.1,40,Clouds
0,2019-01-20 07:40:05,27.08,27.08,27.08,27.08,27.08,27.08,1028.61,100,5.66,88,Clouds
0,2019-01-20 08:43:02,27.08,27.08,27.08,27.08,27.08,27.08,1028.61,100,5.66,88,Clouds
0,2019-01-20 09:00:00,27,27,27,22.6,22.6,22.6,1015,78,1.5,75,Clouds
0,2019-01-20 10:00:00,28,28,28,22.8,22.8,22.8,1015,74,5.7,75,Rain
0,2019-01-20 11:00:00,29,29,29,23.0,23.0,23.0,1016,70,6.7,75,Rain
0,2019-01-20 12:00:00,30,30,30,23.2,23.2,23.2,1017,66,6.2,40,Clouds
0,2019-01-20 13:00:00,30,30,30,23.2,23.2,23.2,1017,66,6.2,40,Clouds
0,2019-01-20 14:00:00,31,31,31,23.4,23.4,23.4,1017,62,6.2,40,Clouds
0,2019-01-20 15:00:00,30,30,30,23.2,23.2,23.2,1016,66,5.7,20,Clouds
0,2019-01-20 16:00:00,30,30,30,22.4,22.4,22.4,1016,62,6.7,20,Clouds
0,2019-01-20 17:00:00,31,31,31,23.4,23.4,23.4,1015,62,6.7,20,Clouds
0,2019-01-20 18:00:00,30,30,30,22.4,22.4,22.4,1014,62,6.2,0,Clear
0,2019-01-20 19:00:00,30,30,30,23.2,23.2,23.2,1014,66,6.2,0,Clear
0,2019-01-20 20:00:00,30,30,30,23.2,23.2,23.2,1014,66,6.2,0,Clear
0,2019-01-20 21:00:00,29,29,29,23.0,23.0,23.0,1015,70,5.7,0,Clear
0,2019-01-20 22:00:00,28,28,28,22.8,22.8,22.8,1015,74,5.1,20,Clouds
0,2019-01-20 23:00:00,28,28,28,22.8,22.8,22.8,1016,74,5.7,20,Clouds
0,2019-01-21 00:00:00,28,28,28,22.8,22.8,22.8,1016,74,5.7,20,Clouds
0,2019-01-21 01:00:00,28,28,28,22.8,22.8,22.8,1017,74,6.2,40,Clouds
0,2019-01-21 02:00:00,28,28,28,22.8,22.8,22.8,1017,74,5.1,40,Clouds
0,2019-01-21 02:00:00,28,28,28,22.8,22.8,22.8,1017,74,5.1,40,Clouds
0,2019-01-21 03:00:00,28,28,28,22.8,22.8,22.8,1016,74,5.7,40,Clouds
0,2019-01-21 04:00:00,27,27,27,22.6,22.6,22.6,1016,78,5.1,20,Clouds
